Tahun,Jk,Umur,Penduduk
2014,Perempuan,35-39,9715
2014,Perempuan,40-44,8958
2014,Perempuan,45-49,8047
2014,Perempuan,50-54,6824
2014,Perempuan,55-59,5396
2014,Perempuan,60-64,4005
2014,Perempuan,65-69,3212
2014,Perempuan,70-74,2583
2014,Perempuan,75-79,1768
2014,Perempuan,80-84,926
2014,Perempuan,85+,431
2015,Laki-laki,00-04,12322
2015,Laki-laki,05-09,12036
2015,Laki-laki,10-14,11380
2015,Laki-laki,15-19,11325
2015,Laki-laki,20-24,10883
2015,Laki-laki,25-29,10648
2015,Laki-laki,30-34,10805
2015,Laki-laki,35-39,10132
2015,Laki-laki,40-44,9254
2015,Laki-laki,45-49,8304
2015,Laki-laki,50-54,7040
2015,Laki-laki,55-59,5509
2015,Laki-laki,60-64,3951
2015,Laki-laki,65-69,2749
2015,Laki-laki,70-74,2006
2015,Laki-laki,75-79,1291
2015,Laki-laki,80-84,622
2015,Laki-laki,85+,259
2015,Perempuan,00-04,11688
2015,Perempuan,05-09,11423
2015,Perempuan,10-14,10784
2015,Perempuan,15-19,10744
2015,Perempuan,20-24,10326
2015,Perempuan,25-29,10135
2015,Perempuan,30-34,10362
2015,Perempuan,35-39,9841
2015,Perempuan,40-44,9083
2015,Perempuan,45-49,8216
2015,Perempuan,50-54,7040
2015,Perempuan,55-59,5632
2015,Perempuan,60-64,4200
2015,Perempuan,65-69,3241
2015,Perempuan,70-74,2617
2015,Perempuan,75-79,1817
2015,Perempuan,80-84,966
2015,Perempuan,85+,458
2016,Laki-laki,00-04,12222
2016,Laki-laki,05-09,12150
2016,Laki-laki,10-14,11456
2016,Laki-laki,15-19,11329
2016,Laki-laki,20-24,10955
2016,Laki-laki,25-29,10654
2016,Laki-laki,30-34,10778
2016,Laki-laki,35-39,10275
2016,Laki-laki,40-44,9393
2016,Laki-laki,45-49,8462
2016,Laki-laki,50-54,7251
2016,Laki-laki,55-59,5746
2016,Laki-laki,60-64,4154
2016,Laki-laki,65-69,2828
2016,Laki-laki,70-74,2027
2016,Laki-laki,75-79,1314
2016,Laki-laki,80-84,644
2016,Laki-laki,85+,270
2016,Perempuan,00-04,11594
2016,Perempuan,05-09,11533
2016,Perempuan,10-14,10858
2016,Perempuan,15-19,10747
2016,Perempuan,20-24,10400
2016,Perempuan,25-29,10135
2016,Perempuan,30-34,10317
2016,Perempuan,35-39,9957
2016,Perempuan,40-44,9209
2016,Perempuan,45-49,8367
2016,Perempuan,50-54,7250
2016,Perempuan,55-59,5869
2016,Perempuan,60-64,4412
2016,Perempuan,65-69,3286
2016,Perempuan,70-74,2652
2016,Perempuan,75-79,1862
2016,Perempuan,80-84,1008
2016,Perempuan,85+,486
2017,Laki-laki,00-04,12057
2017,Laki-laki,05-09,12248
2017,Laki-laki,10-14,11580
2017,Laki-laki,15-19,11306
2017,Laki-laki,20-24,11044
2017,Laki-laki,25-29,10681
2017,Laki-laki,30-34,10714
2017,Laki-laki,35-39,10416
2017,Laki-laki,40-44,9531
2017,Laki-laki,45-49,8608
2017,Laki-laki,50-54,7453
2017,Laki-laki,55-59,5978
2017,Laki-laki,60-64,4362
2017,Laki-laki,65-69,2935
2017,Laki-laki,70-74,2051
2017,Laki-laki,75-79,1334
2017,Laki-laki,80-84,666
2017,Laki-laki,85+,282
2017,Perempuan,00-04,11438
2017,Perempuan,05-09,11625
2017,Perempuan,10-14,10978
2017,Perempuan,15-19,10723
2017,Perempuan,20-24,10492
2017,Perempuan,25-29,10155
2017,Perempuan,30-34,10241
2017,Perempuan,35-39,10070
2017,Perempuan,40-44,9331
2017,Perempuan,45-49,8507
2017,Perempuan,50-54,7451
2017,Perempuan,55-59,6101
2017,Perempuan,60-64,4629
2017,Perempuan,65-69,3365
2017,Perempuan,70-74,2684
2017,Perempuan,75-79,1902
2017,Perempuan,80-84,1049
2017,Perempuan,85+,514
2018,Laki-laki,00-04,11887
2018,Laki-laki,05-09,12291
2018,Laki-laki,10-14,11735
2018,Laki-laki,15-19,11281
