Tahun,Jk,Umur,Penduduk
2033,Perempuan,10-14,10690
2033,Perempuan,15-19,11172
2033,Perempuan,20-24,11533
2033,Perempuan,25-29,10945
2033,Perempuan,30-34,10472
2033,Perempuan,35-39,10335
2033,Perempuan,40-44,9869
2033,Perempuan,45-49,9773
2033,Perempuan,50-54,9616
2033,Perempuan,55-59,8707
2033,Perempuan,60-64,7649
2033,Perempuan,65-69,6332
2033,Perempuan,70-74,4689
2033,Perempuan,75-79,2954
2033,Perempuan,80-84,1512
2033,Perempuan,85+,920
2034,Laki-laki,00-04,10972
2034,Laki-laki,05-09,11006
2034,Laki-laki,10-14,11203
2034,Laki-laki,15-19,11616
2034,Laki-laki,20-24,12113
2034,Laki-laki,25-29,11622
2034,Laki-laki,30-34,10972
2034,Laki-laki,35-39,10858
2034,Laki-laki,40-44,10338
2034,Laki-laki,45-49,10080
2034,Laki-laki,50-54,9882
2034,Laki-laki,55-59,8740
2034,Laki-laki,60-64,7381
2034,Laki-laki,65-69,5802
2034,Laki-laki,70-74,4000
2034,Laki-laki,75-79,2273
2034,Laki-laki,80-84,1009
2034,Laki-laki,85+,445
2034,Perempuan,00-04,10405
2034,Perempuan,05-09,10444
2034,Perempuan,10-14,10626
2034,Perempuan,15-19,11035
2034,Perempuan,20-24,11536
2034,Perempuan,25-29,11090
2034,Perempuan,30-34,10478
2034,Perempuan,35-39,10395
2034,Perempuan,40-44,9897
2034,Perempuan,45-49,9713
2034,Perempuan,50-54,9689
2034,Perempuan,55-59,8835
2034,Perempuan,60-64,7781
2034,Perempuan,65-69,6496
2034,Perempuan,70-74,4869
2034,Perempuan,75-79,3107
2034,Perempuan,80-84,1595
2034,Perempuan,85+,944
2035,Laki-laki,00-04,10958
2035,Laki-laki,05-09,10984
2035,Laki-laki,10-14,11143
2035,Laki-laki,15-19,11492
2035,Laki-laki,20-24,12083
2035,Laki-laki,25-29,11744
2035,Laki-laki,30-34,11015
2035,Laki-laki,35-39,10886
2035,Laki-laki,40-44,10395
2035,Laki-laki,45-49,10042
2035,Laki-laki,50-54,9927
2035,Laki-laki,55-59,8885
2035,Laki-laki,60-64,7509
2035,Laki-laki,65-69,5947
2035,Laki-laki,70-74,4149
2035,Laki-laki,75-79,2393
2035,Laki-laki,80-84,1072
2035,Laki-laki,85+,463
2035,Perempuan,00-04,10391
2035,Perempuan,05-09,10424
2035,Perempuan,10-14,10570
2035,Perempuan,15-19,10915
2035,Perempuan,20-24,11507
2035,Perempuan,25-29,11211
2035,Perempuan,30-34,10520
2035,Perempuan,35-39,10423
2035,Perempuan,40-44,9957
2035,Perempuan,45-49,9671
2035,Perempuan,50-54,9713
2035,Perempuan,55-59,8964
2035,Perempuan,60-64,7908
2035,Perempuan,65-69,6651
2035,Perempuan,70-74,5045
2035,Perempuan,75-79,3264
2035,Perempuan,80-84,1691
2035,Perempuan,85+,970
2036,Laki-laki,00-04,10945
2036,Laki-laki,05-09,10967
2036,Laki-laki,10-14,11090
2036,Laki-laki,15-19,11386
2036,Laki-laki,20-24,11988
2036,Laki-laki,25-29,11860
2036,Laki-laki,30-34,11092
2036,Laki-laki,35-39,10892
2036,Laki-laki,40-44,10468
2036,Laki-laki,45-49,10053
2036,Laki-laki,50-54,9909
2036,Laki-laki,55-59,9024
2036,Laki-laki,60-64,7640
2036,Laki-laki,65-69,6082
2036,Laki-laki,70-74,4296
2036,Laki-laki,75-79,2515
2036,Laki-laki,80-84,1139
2036,Laki-laki,85+,483
2036,Perempuan,00-04,10378
2036,Perempuan,05-09,10409
2036,Perempuan,10-14,10523
2036,Perempuan,15-19,10812
2036,Perempuan,20-24,11418
2036,Perempuan,25-29,11324
2036,Perempuan,30-34,10596
2036,Perempuan,35-39,10429
2036,Perempuan,40-44,10034
2036,Perempuan,45-49,9679
2036,Perempuan,50-54,9681
2036,Perempuan,55-59,9084
2036,Perempuan,60-64,8035
2036,Perempuan,65-69,6794
2036,Perempuan,70-74,5218
2036,Perempuan,75-79,3424
2036,Perempuan,80-84,1795
2036,Perempuan,85+,1004
2037,Laki-laki,00-04,10932
2037,Laki-laki,05-09,10955
2037,Laki-laki,10-14,11043
2037,Laki-laki,15-19,11299
2037,Laki-laki,20-24,11829
2037,Laki-laki,25-29,11958
2037,Laki-laki,30-34,11216
2037,Laki-laki,35-39,10873
2037,Laki-laki,40-44,10558
2037,Laki-laki,45-49,10085
2037,Laki-laki,50-54,9859
2037,Laki-laki,55-59,9162
2037,Laki-laki,60-64,7771
2037,Laki-laki,65-69,6208
2037,Laki-laki,70-74,4440
2037,Laki-laki,75-79,2638
2037,Laki-laki,80-84,1210
2037,Laki-laki,85+,508
2037,Perempuan,00-04,10366
2037,Perempuan,05-09,10398
2037,Perempuan,10-14,10481
2037,Perempuan,15-19,10727
2037,Perempuan,20-24,11268
2037,Perempuan,25-29,11419
2037,Perempuan,30-34,10718
2037,Perempuan,35-39,10410
2037,Perempuan,40-44,10129
2037,Perempuan,45-49,9706
2037,Perempuan,50-54,9619
2037,Perempuan,55-59,9201
2037,Perempuan,60-64,8159
2037,Perempuan,65-69,6929
2037,Perempuan,70-74,5387
2037,Perempuan,75-79,3583
2037,Perempuan,80-84,1902
2037,Perempuan,85+,1044
2038,Laki-laki,00-04,10915
2038,Laki-laki,05-09,10943
2038,Laki-laki,10-14,11008
2038,Laki-laki,15-19,11227
2038,Laki-laki,20-24,11665
2038,Laki-laki,25-29,12003
2038,Laki-laki,30-34,11370
2038,Laki-laki,35-39,10852
2038,Laki-laki,40-44,10652
2038,Laki-laki,45-49,10101
2038,Laki-laki,50-54,9806
2038,Laki-laki,55-59,9285
2038,Laki-laki,60-64,7902
2038,Laki-laki,65-69,6337
2038,Laki-laki,70-74,4576
2038,Laki-laki,75-79,2758
2038,Laki-laki,80-84,1282
2038,Laki-laki,85+,536
2038,Perempuan,00-04,10349
2038,Perempuan,05-09,10388
2038,Perempuan,10-14,10450
2038,Perempuan,15-19,10658
2038,Perempuan,20-24,11112
2038,Perempuan,25-29,11461
2038,Perempuan,30-34,10870
2038,Perempuan,35-39,10388
2038,Perempuan,40-44,10227
2038,Perempuan,45-49,9722
2038,Perempuan,50-54,9557
2038,Perempuan,55-59,9304
2038,Perempuan,60-64,8282
2038,Perempuan,65-69,7064
2038,Perempuan,70-74,5548
2038,Perempuan,75-79,3740
2038,Perempuan,80-84,2012
2038,Perempuan,85+,1095
2039,Laki-laki,00-04,10896
2039,Laki-laki,05-09,10929
2039,Laki-laki,10-14,10983
2039,Laki-laki,15-19,11160
2039,Laki-laki,20-24,11524
2039,Laki-laki,25-29,12006
2039,Laki-laki,30-34,11516
2039,Laki-laki,35-39,10858
2039,Laki-laki,40-44,10710
2039,Laki-laki,45-49,10129
2039,Laki-laki,50-54,9757
2039,Laki-laki,55-59,9381
2039,Laki-laki,60-64,8042
2039,Laki-laki,65-69,6462
2039,Laki-laki,70-74,4708
2039,Laki-laki,75-79,2876
2039,Laki-laki,80-84,1357
2039,Laki-laki,85+,570
2039,Perempuan,00-04,10331
2039,Perempuan,05-09,10375
2039,Perempuan,10-14,10427
2039,Perempuan,15-19,10595
2039,Perempuan,20-24,10977
2039,Perempuan,25-29,11465
2039,Perempuan,30-34,11015
2039,Perempuan,35-39,10395
2039,Perempuan,40-44,10287
2039,Perempuan,45-49,9752
2039,Perempuan,50-54,9502
2039,Perempuan,55-59,9379
2039,Perempuan,60-64,8410
2039,Perempuan,65-69,7194
2039,Perempuan,70-74,5701
2039,Perempuan,75-79,3894
2039,Perempuan,80-84,2125
2039,Perempuan,85+,1155
2040,Laki-laki,00-04,10869
2040,Laki-laki,05-09,10915
2040,Laki-laki,10-14,10961
2040,Laki-laki,15-19,11100
2040,Laki-laki,20-24,11402
2040,Laki-laki,25-29,11976
2040,Laki-laki,30-34,11639
2040,Laki-laki,35-39,10901
2040,Laki-laki,40-44,10738
2040,Laki-laki,45-49,10187
2040,Laki-laki,50-54,9723
2040,Laki-laki,55-59,9427
2040,Laki-laki,60-64,8183
2040,Laki-laki,65-69,6583
2040,Laki-laki,70-74,4836
2040,Laki-laki,75-79,2992
2040,Laki-laki,80-84,1434
2040,Laki-laki,85+,607
2040,Perempuan,00-04,10305
2040,Perempuan,05-09,10361
2040,Perempuan,10-14,10407
2040,Perempuan,15-19,10540
2040,Perempuan,20-24,10857
2040,Perempuan,25-29,11437
2040,Perempuan,30-34,11136
2040,Perempuan,35-39,10437
2040,Perempuan,40-44,10316
2040,Perempuan,45-49,9812
2040,Perempuan,50-54,9464
2040,Perempuan,55-59,9406
2040,Perempuan,60-64,8539
2040,Perempuan,65-69,7319
2040,Perempuan,70-74,5847
2040,Perempuan,75-79,4046
2040,Perempuan,80-84,2242
2040,Perempuan,85+,1222
2041,Laki-laki,00-04,10831
2041,Laki-laki,05-09,10903
2041,Laki-laki,10-14,10944
2041,Laki-laki,15-19,11047
2041,Laki-laki,20-24,11297
2041,Laki-laki,25-29,11882
2041,Laki-laki,30-34,11754
2041,Laki-laki,35-39,10978
2041,Laki-laki,40-44,10745
2041,Laki-laki,45-49,10260
2041,Laki-laki,50-54,9737
2041,Laki-laki,55-59,9415
2041,Laki-laki,60-64,8318
2041,Laki-laki,65-69,6707
2041,Laki-laki,70-74,4955
2041,Laki-laki,75-79,3107
2041,Laki-laki,80-84,1514
2041,Laki-laki,85+,646
2041,Perempuan,00-04,10269
2041,Perempuan,05-09,10349
2041,Perempuan,10-14,10392
2041,Perempuan,15-19,10492
2041,Perempuan,20-24,10754
2041,Perempuan,25-29,11349
2041,Perempuan,30-34,11249
2041,Perempuan,35-39,10514
2041,Perempuan,40-44,10323
2041,Perempuan,45-49,9890
2041,Perempuan,50-54,9474
2041,Perempuan,55-59,9379
2041,Perempuan,60-64,8659
2041,Perempuan,65-69,7445
2041,Perempuan,70-74,5983
2041,Perempuan,75-79,4196
2041,Perempuan,80-84,2361
2041,Perempuan,85+,1296
2042,Laki-laki,00-04,10788
2042,Laki-laki,05-09,10890
2042,Laki-laki,10-14,10932
2042,Laki-laki,15-19,11001
2042,Laki-laki,20-24,11211
2042,Laki-laki,25-29,11725
2042,Laki-laki,30-34,11852
2042,Laki-laki,35-39,11101
2042,Laki-laki,40-44,10727
2042,Laki-laki,45-49,10350
2042,Laki-laki,50-54,9770
2042,Laki-laki,55-59,9372
2042,Laki-laki,60-64,8452
2042,Laki-laki,65-69,6831
2042,Laki-laki,70-74,5068
2042,Laki-laki,75-79,3220
2042,Laki-laki,80-84,1593
2042,Laki-laki,85+,688
2042,Perempuan,00-04,10228
2042,Perempuan,05-09,10337
2042,Perempuan,10-14,10382
2042,Perempuan,15-19,10451
2042,Perempuan,20-24,10670
2042,Perempuan,25-29,11200
2042,Perempuan,30-34,11344
2042,Perempuan,35-39,10636
2042,Perempuan,40-44,10305
2042,Perempuan,45-49,9985
2042,Perempuan,50-54,9503
2042,Perempuan,55-59,9323
2042,Perempuan,60-64,8777
2042,Perempuan,65-69,7568
2042,Perempuan,70-74,6111
2042,Perempuan,75-79,4343
2042,Perempuan,80-84,2480
2042,Perempuan,85+,1376
2043,Laki-laki,00-04,10742
2043,Laki-laki,05-09,10874
2043,Laki-laki,10-14,10921
2043,Laki-laki,15-19,10967
2043,Laki-laki,20-24,11140
2043,Laki-laki,25-29,11563
2043,Laki-laki,30-34,11897
2043,Laki-laki,35-39,11255
2043,Laki-laki,40-44,10707
2043,Laki-laki,45-49,10444
2043,Laki-laki,50-54,9789
2043,Laki-laki,55-59,9326
2043,Laki-laki,60-64,8573
2043,Laki-laki,65-69,6957
2043,Laki-laki,70-74,5184
2043,Laki-laki,75-79,3329
2043,Laki-laki,80-84,1672
2043,Laki-laki,85+,733
2043,Perempuan,00-04,10184
2043,Perempuan,05-09,10321
2043,Perempuan,10-14,10371
2043,Perempuan,15-19,10420
2043,Perempuan,20-24,10602
2043,Perempuan,25-29,11045
2043,Perempuan,30-34,11387
2043,Perempuan,35-39,10788
2043,Perempuan,40-44,10285
2043,Perempuan,45-49,10084
2043,Perempuan,50-54,9522
2043,Perempuan,55-59,9267
2043,Perempuan,60-64,8881
2043,Perempuan,65-69,7690
2043,Perempuan,70-74,6241
2043,Perempuan,75-79,4484
2043,Perempuan,80-84,2599
2043,Perempuan,85+,1463
2044,Laki-laki,00-04,10685
2044,Laki-laki,05-09,10855
2044,Laki-laki,10-14,10907
2044,Laki-laki,15-19,10941
2044,Laki-laki,20-24,11073
2044,Laki-laki,25-29,11423
2044,Laki-laki,30-34,11901
2044,Laki-laki,35-39,11401
2044,Laki-laki,40-44,10715
2044,Laki-laki,45-49,10502
2044,Laki-laki,50-54,9819
2044,Laki-laki,55-59,9285
2044,Laki-laki,60-64,8668
2044,Laki-laki,65-69,7089
2044,Laki-laki,70-74,5297
2044,Laki-laki,75-79,3434
2044,Laki-laki,80-84,1751
2044,Laki-laki,85+,781
2044,Perempuan,00-04,10130
2044,Perempuan,05-09,10302
2044,Perempuan,10-14,10359
2044,Perempuan,15-19,10398
2044,Perempuan,20-24,10540
2044,Perempuan,25-29,10910
2044,Perempuan,30-34,11391
2044,Perempuan,35-39,10933
2044,Perempuan,40-44,10293
2044,Perempuan,45-49,10145
2044,Perempuan,50-54,9553
2044,Perempuan,55-59,9217
2044,Perempuan,60-64,8958
2044,Perempuan,65-69,7817
2044,Perempuan,70-74,6367
2044,Perempuan,75-79,4619
2044,Perempuan,80-84,2716
2044,Perempuan,85+,1555
2045,Laki-laki,00-04,10619
2045,Laki-laki,05-09,10828
2045,Laki-laki,10-14,10893
2045,Laki-laki,15-19,10920
2045,Laki-laki,20-24,11014
2045,Laki-laki,25-29,11302
2045,Laki-laki,30-34,11871
2045,Laki-laki,35-39,11522
2045,Laki-laki,40-44,10758
2045,Laki-laki,45-49,10531
2045,Laki-laki,50-54,9878
2045,Laki-laki,55-59,9257
2045,Laki-laki,60-64,8718
2045,Laki-laki,65-69,7223
2045,Laki-laki,70-74,5407
2045,Laki-laki,75-79,3537
2045,Laki-laki,80-84,1828
2045,Laki-laki,85+,832
2045,Perempuan,00-04,10066
2045,Perempuan,05-09,10277
2045,Perempuan,10-14,10345
2045,Perempuan,15-19,10378
2045,Perempuan,20-24,10485
2045,Perempuan,25-29,10791
2045,Perempuan,30-34,11363
2045,Perempuan,35-39,11054
2045,Perempuan,40-44,10336
2045,Perempuan,45-49,10175
2045,Perempuan,50-54,9616
2045,Perempuan,55-59,9185
2045,Perempuan,60-64,8990
2045,Perempuan,65-69,7945
2045,Perempuan,70-74,6487
2045,Perempuan,75-79,4750
2045,Perempuan,80-84,2833
2045,Perempuan,85+,1654
