Provinsi,Tahun,Tamu,Hotel,Jumlah
Sumatera Utara,2005,WNA,Non-Bintang,12580
Sumatera Utara,2006,WNA,Non-Bintang,18651
Sumatera Utara,2007,WNA,Non-Bintang,22451
Sumatera Utara,2008,WNA,Non-Bintang,24505
Sumatera Utara,2009,WNA,Non-Bintang,16481
Sumatera Utara,2010,WNA,Non-Bintang,11531
Sumatera Utara,2011,WNA,Non-Bintang,25970
Sumatera Utara,2012,WNA,Non-Bintang,122004
Sumatera Utara,2013,WNA,Non-Bintang,63627.22
Sumatera Utara,2014,WNA,Non-Bintang,37778.8
Sumatera Utara,2015,WNA,Non-Bintang,19135.61
Sumatera Utara,2016,WNA,Non-Bintang,67499
Sumatera Utara,2017,WNA,Non-Bintang,99006.44
Sumatera Utara,2018,WNA,Non-Bintang,97445
Sumatera Utara,2019,WNA,Non-Bintang,21104
Sumatera Utara,2020,WNA,Non-Bintang,3912
Sumatera Utara,2021,WNA,Non-Bintang,4486
Sumatera Utara,2003,WNI,Non-Bintang,550262
Sumatera Utara,2004,WNI,Non-Bintang,535512
Sumatera Utara,2005,WNI,Non-Bintang,481750
Sumatera Utara,2006,WNI,Non-Bintang,767525
Sumatera Utara,2007,WNI,Non-Bintang,688688
Sumatera Utara,2008,WNI,Non-Bintang,862159
Sumatera Utara,2009,WNI,Non-Bintang,846096
Sumatera Utara,2010,WNI,Non-Bintang,907670
Sumatera Utara,2011,WNI,Non-Bintang,1281591
Sumatera Utara,2012,WNI,Non-Bintang,2278774
Sumatera Utara,2013,WNI,Non-Bintang,3063989.53
Sumatera Utara,2014,WNI,Non-Bintang,3553947.99
Sumatera Utara,2015,WNI,Non-Bintang,1419222.99
Sumatera Utara,2016,WNI,Non-Bintang,3878838
Sumatera Utara,2017,WNI,Non-Bintang,4075920.47
Sumatera Utara,2018,WNI,Non-Bintang,4056188
Sumatera Utara,2019,WNI,Non-Bintang,4850322
Sumatera Utara,2020,WNI,Non-Bintang,1450824
Sumatera Utara,2021,WNI,Non-Bintang,3104121
Sumatera Barat,2003,WNA,Berbintang,10.8
Sumatera Barat,2004,WNA,Berbintang,27.2
Sumatera Barat,2005,WNA,Berbintang,21
Sumatera Barat,2006,WNA,Berbintang,28.4
Sumatera Barat,2007,WNA,Berbintang,32
Sumatera Barat,2008,WNA,Berbintang,34.6
Sumatera Barat,2009,WNA,Berbintang,34.7
Sumatera Barat,2010,WNA,Berbintang,18.7
Sumatera Barat,2011,WNA,Berbintang,20.6
Sumatera Barat,2012,WNA,Berbintang,36.9
Sumatera Barat,2013,WNA,Berbintang,59
Sumatera Barat,2014,WNA,Berbintang,63.8
Sumatera Barat,2015,WNA,Berbintang,38
Sumatera Barat,2016,WNA,Berbintang,81.27
Sumatera Barat,2017,WNA,Berbintang,75.86
Sumatera Barat,2018,WNA,Berbintang,43.08
Sumatera Barat,2019,WNA,Berbintang,51.83
Sumatera Barat,2020,WNA,Berbintang,10.32
Sumatera Barat,2021,WNA,Berbintang,2.37
Sumatera Barat,2003,WNI,Berbintang,212.6
Sumatera Barat,2004,WNI,Berbintang,242.7
Sumatera Barat,2005,WNI,Berbintang,269.2
Sumatera Barat,2006,WNI,Berbintang,272.2
Sumatera Barat,2007,WNI,Berbintang,268.3
Sumatera Barat,2008,WNI,Berbintang,351.5
Sumatera Barat,2009,WNI,Berbintang,395.6
Sumatera Barat,2010,WNI,Berbintang,408.6
Sumatera Barat,2011,WNI,Berbintang,425.8
Sumatera Barat,2012,WNI,Berbintang,704.7
Sumatera Barat,2013,WNI,Berbintang,854.4
Sumatera Barat,2014,WNI,Berbintang,1208.3
Sumatera Barat,2015,WNI,Berbintang,896.5
Sumatera Barat,2016,WNI,Berbintang,1649.82
Sumatera Barat,2017,WNI,Berbintang,1833.08
Sumatera Barat,2018,WNI,Berbintang,1224.83
Sumatera Barat,2019,WNI,Berbintang,1470.99
Sumatera Barat,2020,WNI,Berbintang,10.32
Sumatera Barat,2021,WNI,Berbintang,1175.55
Sumatera Barat,2003,WNA,Non-Bintang,27768
Sumatera Barat,2004,WNA,Non-Bintang,22056
Sumatera Barat,2005,WNA,Non-Bintang,12495
Sumatera Barat,2006,WNA,Non-Bintang,4825
Sumatera Barat,2007,WNA,Non-Bintang,4658
Sumatera Barat,2008,WNA,Non-Bintang,6612
Sumatera Barat,2009,WNA,Non-Bintang,14162
Sumatera Barat,2010,WNA,Non-Bintang,7535
Sumatera Barat,2011,WNA,Non-Bintang,41298
Sumatera Barat,2012,WNA,Non-Bintang,21796
Sumatera Barat,2013,WNA,Non-Bintang,9005.98
Sumatera Barat,2014,WNA,Non-Bintang,7421.73
Sumatera Barat,2015,WNA,Non-Bintang,3515.58
Sumatera Barat,2016,WNA,Non-Bintang,11606
Sumatera Barat,2017,WNA,Non-Bintang,8717.92
Sumatera Barat,2018,WNA,Non-Bintang,3616
Sumatera Barat,2019,WNA,Non-Bintang,3786
Sumatera Barat,2020,WNA,Non-Bintang,6193
Sumatera Barat,2021,WNA,Non-Bintang,1310
Sumatera Barat,2003,WNI,Non-Bintang,497724
Sumatera Barat,2004,WNI,Non-Bintang,342220
Sumatera Barat,2005,WNI,Non-Bintang,274152
